total_dd,region_name,viirs_mean_settled,area_km2,built_up_mean,urban_share,viirs_sum_rad,viirs_sum_settled,cdd,country,lit_area_fraction,latitude,population,year,consumption_per_capita_kwh,pop_density,built_up_sum,consumption_gwh,viirs_mean_rad,viirs_settled_pc,smod_urban_pct,hdd,log_consumption,log_consumption_pc,log_viirs_sum,log_viirs_mean,log_viirs_sum_settled,log_viirs_mean_settled,log_viirs_settled_pc,log_population,log_built_sum,log_built_mean,log_pop_density,log_area,log_hdd,log_cdd,log_total_dd,consumption_per_km2
4099.700639518518,New York,15.015510941753028,141305.7411448846,95.2226508138524,0.0179616785878002,1382674.1523378063,738184.599530317,183.16624434581388,US,0.3838294553442548,42.92028194090277,19790368.457536884,2019,7357.131592694029,140.0535342526903,53695465.02745098,145600.34501,1.7953690628317032,0.0373001948454976,0.0219925142996042,3916.534395172705,11.88862078431609,8.90342540650521,14.139529973586452,0.5852106068405933,13.511949207169028,2.709083729611109,-3.288756728606129,16.800705935775156,17.7988391057724,4.556217842213709,4.942024737037046,11.85868119873811,8.273217754069796,5.215838851576267,8.318913125780204,1.0303922815189228
3973.858580381557,Nevada,39.043730690578464,286376.97338622576,14.382781804994522,0.0049374939164718,809362.0449850435,359804.2082566343,494.97575009585887,US,0.0348013854442141,39.35276396744903,3174517.9431339805,2019,11649.764365007768,11.085101939577484,16586873.45882353,36982.38601,0.542359723051133,0.1133413685800196,0.0037149755708782,3478.882830285698,10.518197024493,9.363041232609705,13.604001617545856,-0.6118258020247601,12.793315296529766,3.664682317701041,-2.1773510533178047,14.970666349847573,16.624122185022173,2.666031783166316,2.4056020391989703,12.5650643106486,8.154753902743558,6.206527034593958,8.287744449193045,0.1291388255581682
7168.2228749300375,Alaska,47.239918150664025,1724223.1200980467,0.2192067295305124,0.0001135098895567,15889590.50788016,121737.2690742612,0.0,US,0.7906516743457181,63.74267388222731,761458.7068038833,2019,7641.655388541845,0.4416242294446112,1504215.0,5818.80503,1.0214731676026552,0.15987376332623,7.401253412835428e-05,7168.2228749300375,8.668850198338337,8.94136953258308,16.581174767751644,0.0212458672875192,11.709620469352252,3.855239258699888,-1.8333707543672773,13.54299122371953,14.2237817254029,-1.517740023966603,-0.8172959181226659,14.360287141842196,8.877552542075172,0.0,8.877552542075172,0.003374740172646
4727.04135549213,Vermont,3.844648741907352,24903.23918627152,20.776674602207382,0.0042667229189899,74529.40528025353,14276.16078720484,155.70962633288806,US,0.1601345078285651,44.07626689376779,641130.7963584511,2019,8465.767080334472,25.744875659062423,2073803.9764705887,5427.66399,0.5362581308566634,0.0222671580717878,0.0010031592829684,4571.331729159242,8.59926411594362,9.043785908339354,11.218949028241775,-0.6231396464181905,9.566346347309644,1.3466822442740882,-3.804642418258899,13.370988765568542,14.544895148584748,3.0338309440974207,3.2482356037743587,10.122753161794185,8.42777857896659,5.054394579082586,8.46126630597918,0.2179501208417949
3565.114404327377,Connecticut,8.279437342101637,14358.121116658893,260.7559654875429,0.0307654493214399,262301.55489939195,155696.11795349058,363.2821226449294,US,0.8379509157852223,41.572846843155226,3632375.5618466698,2019,7680.922725351636,252.9840452196935,15038299.635294115,27899.996,3.400989495358768,0.0428634416520344,0.0397412530998834,3201.8322816824475,10.23638182444027,8.946494965454862,12.477250093780178,1.2240664173283649,11.955661424649929,2.1137750122357413,-3.1497359922997554,15.105397416949684,16.526110813930682,5.563584971807264,5.533326424366252,9.57207099258343,8.071790785354143,5.897928629642478,8.179231879884739,1.9431509020793296
2919.074455181713,Delaware,14.45483086100934,6445.906903761294,188.02048344207407,0.0331079529355622,122906.94992879324,65027.409081116144,824.9233165185292,US,0.8321126284704727,38.994277642410914,991908.8306653608,2019,11562.980019349608,153.88196656805042,4795617.270588234,11469.42199,3.7390363808554143,0.0655578487364574,0.026977380024723,2094.151138663184,9.347439815653985,9.355563896145942,11.71918284341656,1.318827926050719,11.082564138167536,2.671028674328204,-2.724822339304781,13.807386477472315,15.383212990149596,5.236550911373959,5.036185857683186,8.77120061978913,7.647380972314081,6.716501932066706,7.979364393287152,1.7793341047645912
3179.1033404413843,New Mexico,13.9727217158802,314925.1233446774,11.133258896975788,0.0042795376785453,869117.4359118697,153240.26372772327,683.6086845737532,US,0.0771632726473413,34.421892012191925,2168792.651114393,2019,11471.882287693945,6.886693027474679,14123667.51764706,24880.134,0.5647894898327681,0.0706569453050219,0.0018462486916492,2495.494655867631,10.121824932690702,9.347654301951154,13.675233534256147,-0.5713022016292788,11.939762319824087,2.6371069800537272,-2.649918868879734,14.58968118870382,16.463362495513113,2.409936925391816,1.9295910028197367,12.660090185884084,7.822642889288516,6.528847411633142,8.064668972240353,0.0790033317626721
2524.015405757568,North Carolina,10.164636320639277,139389.39977648458,93.7427224969566,0.0140427178801291,1392602.7791305913,647964.951947835,1027.1328706361023,US,0.5927027776671876,35.52666737058685,10821309.242889017,2019,12608.042885351935,77.6336598065659,52666666.49019608,136435.53101,2.0171077916315308,0.0598786096399223,0.0077094639797504,1496.8825351214653,11.823607481745196,9.442090213531593,14.146685057130265,0.7016646991066096,13.38159188737143,2.318914668834696,-2.815435938806451,16.19702782617788,17.779493298972422,4.540554035138283,4.352001093536219,11.845026732641662,7.3118077465309375,6.935499689254383,7.834002442980974,0.9788085121880056
4590.440969722307,Wisconsin,15.797238341299243,169635.7716748504,44.862693712808266,0.0130544970193086,1160772.9464298757,465256.2988308715,179.2253061945953,US,0.3751209648568887,44.64051754749888,5896096.6720318375,2019,11729.3768804791,34.75738998808099,30376450.21568628,69157.53999,1.2196701583182776,0.0789092046332647,0.0071694944619067,4411.215663527712,11.144142369326548,9.369851818367716,13.9645966743104,0.198580460156563,13.05034371300688,2.7598351362302624,-2.5394573959162288,15.589801108923108,17.22917820221159,3.803606574387129,3.5483922109290544,12.041408897994051,8.392132260304704,5.194207769246588,8.43194919054543,0.4076825265519929
3805.504312742324,Oregon,10.346007504635809,254799.42321105863,21.33811508961993,0.0045301333325168,654709.3173585287,210955.0524469457,127.9230856755918,US,0.066118687037489,43.94030633304438,4338474.399527888,2019,11617.997790994226,17.02701813392328,21724328.27843137,50404.38599,0.4630093558444516,0.0486242473782723,0.0053715287075644,3677.581227066732,10.827833473884237,9.360310708415966,13.39194662582101,-0.770008018092607,12.259400368187428,2.3366006969469804,-3.023632955245117,15.283033323432544,16.893943309348025,3.060494914400798,2.834801384447823,12.44823193898472,8.210282420701647,4.859215991469925,8.244466543739799,0.1978198590671393
